date,fund,price
2026-02-25,Zwitserleven RZL Vastgoedfonds,47.05
2026-02-25,Zwitserleven PPI Vanguard Small Cap Fund,55.51
2026-02-25,Zwitserleven MaatschappijGarantie (2%),41.61
2026-02-25,Zwitserleven Credits Fonds,11.55
2026-02-25,Zwitserleven Lifestyle Garantie,168.61
2026-02-25,Optimaal Euro Obligatiefonds,25.0
2026-02-25,Zwitserleven MaatschappijGarantie (3%),46.36
2026-02-25,Zwitserleven MaatschappijGarantie plus,53.43
2026-02-25,Zwitserleven RZL Euro Obligatiefonds,26.82
2026-02-25,Zwitserleven Wereld Aandelenfonds,87.17
2026-02-25,Zwitserleven Kortlopend Obligatiefonds,6.1
2026-02-25,Zwitserleven PW Safetyfonds,112.75
2026-02-25,Zwitserleven RZL Amerika Aandelenfonds,91.24
2026-02-25,Euro Mixfonds,39.75
2026-02-25,Zwitserleven PW Vastrentendfonds Nederland 3%,20.11
2026-02-25,Zwitserleven RZL Euro Mixfonds,45.05
2026-02-25,Zwitserleven PW Collectief Garantiefonds,20.28
2026-02-25,Zwitserleven PW Doorlopend Garantiefonds,13.5
2026-02-25,Zwitserleven PW Europees Beheer Fonds 3%,188.92
2026-02-25,Zwitserleven PW Europees Beheer Fonds 4%,190.86
2026-02-25,Zwitserleven PW Wereldbeheerfonds 3%,140.54
2026-02-25,Zwitserleven PW Garandement,15.99
2026-02-25,Zwitserleven PW Vastrentendfonds,19.64
2026-02-25,Zwitserleven RZL Azië Aandelenfonds,49.74
2026-02-25,Zwitserleven PPI iShares Government Bond index Fund,50.67
2026-02-25,Zwitserleven PW Vastrentendfonds Nederland 4%,20.11
2026-02-25,Zwitserleven VP Obligatie,8.93
2026-02-25,Optimaal Staatsobligaties 10+ Fonds,22.13
2026-02-25,Zwitserleven Mixfonds,59.8
2026-02-25,Zwitserleven PW Verzekerd Rendementfonds,15.16
2026-02-25,Zwitserleven PW Wereldbeheerfonds 4%,141.79
2026-02-25,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.41
2026-02-25,Euro Obligatiefonds,24.8
2026-02-25,Wereld Beheer Mixfonds,39.38
2026-02-25,Zwitserleven VP Selectie,10.46
2026-02-25,Zwitserleven RZL Wereld Aandelenfonds,62.75
